GEOLOC_CD,MILSTAMP_CD,WTR_BDY_CD,ICAO_CD,CTRY_CD,GEOLOC_NM,GEOLOC_TY_CD,LAT_CN,LONG_CN,UPD_SOURCE,UPDATE_TIME,GEOLOC_INDX,TRX_TIME,TRX_DELETED
001Z,   ,6E,    ,REDSE,Centcom Aor      ,OPA,26.216666,50.583333,,0,0,,0
003Z,   ,1A,    ,NATL,Northcom Aor     ,OPA,52,-102,,0,0,,0
004Z,   ,1A,    ,NATL,Eucom Aor        ,OPA,48,-6,,0,0,,0
005Z,   ,4A,    ,SPAC,Pacom Aor        ,OPA,0,-162,,0,0,,0
006Z,   ,2A,    ,SATLO,Southcom Aor     ,OPA,-20,-54,,0,0,,0
00A1,   ,1A,    ,NATL,Nw Atlantic      ,OCN,40,-66,,0,1,0,0
00A2,   ,5A,    ,ARTC,Resmob           ,ADM,89.983333,0,,0,2,0,0
00A3,   ,1X,    ,CRBN,Caribbean        ,SEA,18,-75,,0,3,0,0
00A4,   ,2A,    ,SATLO,Sw Atlantic      ,OCN,-20,-30,,0,4,0,0
00A5,   ,1A,    ,NATL,Ne Atlantic      ,OCN,45,-15,,0,5,0,0
00A6,   ,8E,    ,EMEDS,Mediterranean    ,SEA,36,18,,0,0,,0
00A7,   ,6E,    ,REDSE,Red Sea Persian G,OCN,16,42,,0,7,0,0
00A8,   ,1A,    ,NATL,Canadianopareas  ,OCN,42,-63,,0,8,0,0
00AA,   ,1X,    ,CRBN,Colombian Basin  ,SEA,15,-75,,0,9,0,0
00AB,   ,1X,    ,CRBN,Venezuelan Basin ,SEA,15,-68,,0,10,0,0
00AC,   ,1A,    ,NATL,Guiana Basin     ,SEA,12,-53,,0,11,0,0
00AD,   ,2A,    ,SATLO,Yrgentine Basin  ,SEA,-45,-52,,0,12,0,0
00AE,   ,1A,    ,NATL,Cape Verde Basin ,SEA,15,-35,,0,13,0,0
00AF,   ,2D,    ,DRAKE,Drake Passage    ,STR,-53,-65,,0,14,0,0
00AG,   ,AR,    ,ARGEN,Str Of Magellan  ,STR,-52.333333,-68,,0,15,0,0
00AH,   ,2R,    ,RIOPL,Rio De La Plata  ,GLF,-37,-54,,0,16,0,0
00AJ,   ,2A,    ,SATLO,Bahia Blanca     ,BAY,-41,-60,,0,17,0,0
00AK,   ,2M,    ,SNMTS,Gulfo San Matias ,GLF,-42,-62,,0,18,0,0
00AL,   ,2J,    ,SNJRG,Gulf Of San Jorge,GLF,-46,-64,,0,19,0,0
00AM,   ,AR,    ,ARGEN,Bahia Grande     ,BAY,-51,-67,,0,20,0,0
00AN,   ,4A,    ,SPAC,Gulfo Trinidad   ,GLF,-50,-78,,0,21,0,0
00AO,   ,1A,    ,NATL,Atlantic Ocean   ,OCN,0.016666,-30.016666,,0,0,,0
00AP,   ,4A,    ,SPAC,Gulf Of Penas    ,GLF,-47,-78,,0,22,0,0
00AQ,   ,4A,    ,SPAC,Gulfo Corcovado  ,GLF,-44,-77,,0,23,0,0
00AR,   ,4A,    ,SPAC,Peru Chile Trench,OCN,-24,-75,,0,24,0,0
00AS,   ,EC,    ,ECUAD,Punta Parinas    ,OPA,-5,-83,,0,25,0,0
00AT,   ,PE,    ,PERU,Bahia Caraquez   ,BAY,-0.5,-82,,0,26,0,0
00AU,   ,BF,    ,BAHAM,Autec Oparea     ,OPA,24.5,-77.5,,0,27,0,0
00AV,   ,2A,    ,SATLO,Rio Grande Rise  ,OCN,-32,-43,,0,28,0,0
00AW,   ,8R,    ,ARAL,Aral Sea         ,SEA,45,60,,0,29,0,0
00AY,   ,1A,    ,NATL,Ne Coast Brazil  ,OCN,2,-43,,0,30,0,0
00AZ,   ,2A,    ,SATLO,Se Coast Brazil  ,OCN,-21,-34,,0,31,0,0
00BA,   ,1X,    ,CRBN,Caratasca Lagoon ,BAY,15.5,-83.5,,0,32,0,0
00BB,   ,1X,    ,CRBN,Gulf Los Mosquito,GLF,9.5,-81.5,,0,33,0,0
00BC,   ,1X,    ,CRBN,Gulf Of San Blas ,GLF,9.5,-79,,0,34,0,0
00BD,   ,1X,    ,CRBN,Gulf Of Uraba    ,GLF,8.333333,-77,,0,35,0,0
00BE,   ,1X,    ,CRBN,Gulf Morrosquillo,GLF,10.166666,-76.25,,0,36,0,0
00BF,   ,1X,    ,CRBN,Gulf Of Paria    ,GLF,10.5,-62,,0,37,0,0
00BG,   ,3A,    ,NPAC,Pacific Chop Pt N,OCN,10.333333,-92,,0,38,0,0
00BH,   ,4A,    ,SPAC,Pacific Chop Pt S,OCN,-44,-92,,0,39,0,0
00BJ,   ,1X,    ,CRBN,San Antonio Del S,SEA,20,-74.666666,,0,40,0,0
00BK,   ,1X,    ,CRBN,Bahia De Ovando  ,BAY,20.083333,-74.083333,,0,41,0,0
00BL,   ,5A,    ,ARTC,Arctic Chop Pt E ,OCN,82,100,,0,42,0,0
